value,corpora,blended_skill_talk/f1,empathetic_dialogues/f1,wizard_of_internet/f1,wizard_of_wikipedia/f1,model
0.1199034359306097,TDEC,0.12157394737005234,0.10632075369358063,0.1312119960784912,0.12050704658031464,350M
0.12147027626633644,TDEC,0.12292645871639252,0.10477528721094131,0.1392214596271515,0.11895789951086044,350M
0.12771785259246826,TDEC,0.1292705088853836,0.111180379986763,0.14079821109771729,0.12962231040000916,350M
0.12207326292991638,TDEC,0.12808261811733246,0.10021191835403442,0.140855073928833,0.11914344131946564,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.12256217934191227,TDEC,0.1254490613937378,0.10608818382024765,0.13586971163749695,0.12284176051616669,350M
0.12311125919222832,TDEC,0.1229935735464096,0.10840511322021484,0.14002631604671478,0.12102003395557404,350M
0.1268134843558073,TDEC,0.1257735788822174,0.11063585430383682,0.13962361216545105,0.13122089207172394,350M
0.12401042319834232,TDEC,0.12891049683094025,0.11001767218112946,0.13529597222805023,0.12181755155324936,350M
0.1226231288164854,TDEC,0.12822946906089783,0.10660424083471298,0.13792528212070465,0.11773352324962616,350M
0.1177679505199194,TDEC,0.11336328089237213,0.09968395531177521,0.14084556698799133,0.11717899888753891,350M
0.12006385438144207,TDEC,0.12456333637237549,0.09783116728067398,0.13936147093772888,0.11849944293498993,350M
0.12863297015428543,TDEC,0.13713675737380981,0.11043061316013336,0.1410645693540573,0.12589994072914124,350M
0.12713121064007282,TDEC,0.12893836200237274,0.11286578327417374,0.14050456881523132,0.1262161284685135,350M
0.11829466558992863,TDEC,0.1222413182258606,0.10316301882266998,0.12527233362197876,0.12250199168920517,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.12843377888202667,TDEC,0.1295255720615387,0.11236469447612762,0.14184428751468658,0.13000056147575378,350M
0.1263662613928318,TDEC,0.13690447807312012,0.10143087804317474,0.14109425246715546,0.1260354369878769,350M
0.1261686570942402,TDEC,0.12863750755786896,0.10604977607727051,0.13936075568199158,0.1306265890598297,350M
0.12242763862013817,TDEC,0.12060616910457611,0.1062590628862381,0.13603119552135468,0.1268141269683838,350M
0.12672322429716587,TDEC,0.12450100481510162,0.11516817659139633,0.13901588320732117,0.12820783257484436,350M
0.12402679398655891,TDEC,0.12672176957130432,0.1040658950805664,0.13924439251422882,0.1260751187801361,350M
0.12541930191218853,TDEC,0.12302806228399277,0.11111439764499664,0.14312151074409485,0.12441323697566986,350M
0.12146096862852573,TDEC,0.12828588485717773,0.1005561500787735,0.13734345138072968,0.11965838819742203,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.12904862314462662,TDEC,0.13166090846061707,0.11096715927124023,0.13942191004753113,0.13414451479911804,350M
0.12203668057918549,TDEC,0.1204448789358139,0.11421804130077362,0.13278695940971375,0.12069684267044067,350M
0.1251260694116354,TDEC,0.13031169772148132,0.1079048290848732,0.1442708969116211,0.11801685392856598,350M
0.12922977283596992,TDEC,0.12677571177482605,0.11265234649181366,0.14284679293632507,0.13464424014091492,350M
0.1179558876901865,TDEC,0.11903700977563858,0.10673792660236359,0.12964574992656708,0.11640286445617676,350M
0.12405780144035816,TDEC,0.1188734769821167,0.10905375331640244,0.1419268250465393,0.1263771504163742,350M
0.11898104473948479,TDEC,0.11938004195690155,0.10421691089868546,0.1316462755203247,0.12068095058202744,350M
0.1253516525030136,TDEC,0.12847831845283508,0.11172093451023102,0.13708710670471191,0.12412025034427643,350M
0.12870140746235847,TDEC,0.13463051617145538,0.10983969271183014,0.13820677995681763,0.13212864100933075,350M
0.1177165862172842,TDEC,0.11887599527835846,0.09767673909664154,0.1338934749364853,0.12042013555765152,350M
0.12879019230604172,TDEC,0.1325962096452713,0.11128957569599152,0.144710510969162,0.12656447291374207,350M
0.11971944198012352,TDEC,0.11878464370965958,0.09954887628555298,0.13965921103954315,0.12088503688573837,350M
0.12905353866517544,TDEC,0.13148920238018036,0.1134369745850563,0.13717690110206604,0.13411107659339905,350M
0.12446541152894497,TDEC,0.12710317969322205,0.10698387771844864,0.14320841431617737,0.12056617438793182,350M
0.12788066640496254,TDEC,0.1340155005455017,0.11366474628448486,0.13921597599983215,0.12462644279003143,350M
0.11774619854986668,TDEC,0.11177156865596771,0.10497353971004486,0.12995192408561707,0.12428776174783707,350M
0.12570131942629814,TDEC,0.12909825146198273,0.11716735363006592,0.13755913078784943,0.1189805418252945,350M
0.12430295906960964,TDEC,0.1331327259540558,0.10862437635660172,0.13632214069366455,0.11913259327411652,350M
0.12094363756477833,TDEC,0.12459631264209747,0.0972931981086731,0.1418568193912506,0.12002822011709213,350M
0.1267687790095806,TDEC,0.13335570693016052,0.10798279941082001,0.13981762528419495,0.12591898441314697,350M
0.13167822547256947,TDEC,0.14047983288764954,0.11624500900506973,0.13690409064292908,0.13308396935462952,350M
0.12287037633359432,TDEC,0.12159806489944458,0.10545764118432999,0.13319721817970276,0.13122858107089996,350M
0.11820428632199764,TDEC,0.11824498325586319,0.10188553482294083,0.13217845559120178,0.12050817161798477,350M
0.1238614097237587,TDEC,0.1254522055387497,0.10448019206523895,0.13782379031181335,0.1276894509792328,350M
0.11736108735203743,TDEC,0.11795155704021454,0.09663374722003937,0.1311810314655304,0.12367801368236542,350M
0.11782781407237053,TDEC,0.11985711008310318,0.09700389206409454,0.13637037575244904,0.11807987838983536,350M
0.11757430993020535,TDEC,0.11709358543157578,0.09669151157140732,0.1353192925453186,0.12119285017251968,350M
0.12241725623607635,TDEC,0.1272306740283966,0.0997704267501831,0.1354801207780838,0.1271878033876419,350M
0.12027206271886826,TDEC,0.12025493383407593,0.10306613147258759,0.13883459568023682,0.11893258988857269,350M
0.11946044489741325,TDEC,0.12138906866312027,0.1045387014746666,0.13784824311733246,0.11406576633453369,350M
0.1204704251140356,TDEC,0.12289667129516602,0.10516854375600815,0.1318465918302536,0.12196989357471466,350M
0.12312237173318863,TDEC,0.12141472101211548,0.10787653923034668,0.14006873965263367,0.12312948703765869,350M
0.12588192708790302,TDEC,0.13071009516716003,0.10600314289331436,0.13977953791618347,0.12703493237495422,350M
