corpora,index,epoch,average,model,ai2_arc_ARC-Challenge/acc,ai2_arc_ARC-Easy/acc,hellaswag/acc,math_qa/acc,piqa/acc,pubmed_qa/acc,super_glue_copa/acc,winogrande_winogrande_s/acc
TDEC,44,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,34,3,0.4613943323493004,350M,0.20677965879440308,0.453125,0.3843750059604645,0.20937499403953552,0.65625,0.546875,0.699999988079071,0.534375011920929
TDEC,43,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,85,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,69,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,72,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,92,4,0.4634467624127865,350M,0.21694914996623993,0.4375,0.37812501192092896,0.20624999701976776,0.6812499761581421,0.5249999761581421,0.699999988079071,0.5625
TDEC,57,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,98,3,0.4585487227886915,350M,0.20338982343673706,0.453125,0.37187498807907104,0.19062499701976776,0.6625000238418579,0.5562499761581421,0.6899999976158142,0.5406249761581421
TDEC,25,2,0.45810116454958916,350M,0.2135593146085739,0.4593749940395355,0.35624998807907104,0.21562500298023224,0.668749988079071,0.5375000238418579,0.6700000166893005,0.543749988079071
TDEC,30,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,71,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,9,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,5,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,99,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,91,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,20,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,93,4,0.46016816049814224,350M,0.1932203322649002,0.46562498807907104,0.390625,0.19062499701976776,0.6656249761581421,0.5218750238418579,0.7099999785423279,0.543749988079071
TDEC,11,3,0.4604899324476719,350M,0.2101694941520691,0.4593749940395355,0.3843750059604645,0.19374999403953552,0.6656249761581421,0.550000011920929,0.6800000071525574,0.5406249761581421
TDEC,6,4,0.4611811377108097,350M,0.21694914996623993,0.43437498807907104,0.3843750059604645,0.21562500298023224,0.653124988079071,0.53125,0.7099999785423279,0.543749988079071
TDEC,96,2,0.45932997576892376,350M,0.20338982343673706,0.453125,0.3812499940395355,0.20000000298023224,0.668749988079071,0.5406249761581421,0.6899999976158142,0.5375000238418579
TDEC,58,3,0.46295683458447456,350M,0.20677965879440308,0.4625000059604645,0.3812499940395355,0.19687500596046448,0.668749988079071,0.550000011920929,0.699999988079071,0.5375000238418579
TDEC,15,4,0.4590386562049389,350M,0.2135593146085739,0.4468750059604645,0.3812499940395355,0.20624999701976776,0.6656249761581421,0.5249999761581421,0.6899999976158142,0.543749988079071
TDEC,35,4,0.45785752311348915,350M,0.19661016762256622,0.45625001192092896,0.375,0.20000000298023224,0.668749988079071,0.518750011920929,0.7099999785423279,0.5375000238418579
TDEC,70,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,65,3,0.45809189416468143,350M,0.19661016762256622,0.4593749940395355,0.36250001192092896,0.20937499403953552,0.6656249761581421,0.534375011920929,0.6899999976158142,0.546875
